wo_id,asset_id,created_date,closed_date,complaint_type_simulated,resolution_text_simulated,assigned_contractor_id,actual_rework_needed
WO_0112,ASSET_001,2022-12-04,2022-12-17,Out of Service,Replaced compressor,CONTR_001,False
WO_0113,ASSET_032,2023-12-29,2024-01-07,Temperature Issue,Structural reinforcement applied,CONTR_002,False
WO_0114,ASSET_016,2023-07-21,2023-07-28,Pressure Problem,Full pipe segment replaced,CONTR_002,False
WO_0115,ASSET_003,2022-08-02,2022-08-28,Leak,Adjusted settings,CONTR_001,True
WO_0116,ASSET_038,2025-04-24,2025-04-27,Out of Service,Full pipe segment replaced,CONTR_003,True
WO_0117,ASSET_019,2025-01-16,2025-01-18,Out of Service,Tightened connections,CONTR_004,True
WO_0118,ASSET_028,2025-01-19,2025-02-06,Water Quality,Tightened connections,CONTR_004,True
WO_0119,ASSET_027,2024-01-04,2024-01-22,No Heat,Structural reinforcement applied,,False
WO_0120,ASSET_011,2024-06-01,2024-06-14,Vibration,Replaced compressor,CONTR_003,False
WO_0121,ASSET_040,2024-12-01,2024-12-20,Vibration,Replaced compressor,CONTR_003,False
WO_0122,ASSET_012,2023-01-18,2023-02-06,Out of Service,Temporary patch applied,,False
WO_0123,ASSET_002,2024-06-15,2024-06-25,Structural Concern,Reset unit,CONTR_003,False
WO_0124,ASSET_030,2023-04-09,2023-04-28,Vibration,Major component replacement,,False
WO_0125,ASSET_041,2023-07-20,2023-08-17,Pressure Problem,Replaced compressor,CONTR_001,False
WO_0126,ASSET_037,2025-01-09,2025-02-07,Temperature Issue,Cleared blockage,CONTR_001,False
WO_0127,ASSET_018,2023-08-12,2023-08-26,Water Quality,Reset unit,,True
WO_0128,ASSET_039,2024-02-10,2024-02-14,No Heat,Major component replacement,CONTR_003,False
WO_0129,ASSET_002,2022-12-18,2022-12-24,Leak,Reset unit,CONTR_004,True
WO_0130,ASSET_048,2024-05-31,2024-06-12,No Heat,Adjusted settings,CONTR_005,False
WO_0131,ASSET_019,2024-10-03,2024-10-16,Pressure Problem,Structural reinforcement applied,CONTR_003,True
WO_0132,ASSET_049,2024-04-02,2024-05-02,Vibration,Complete system overhaul,CONTR_004,False
WO_0133,ASSET_004,2022-06-05,2022-06-23,Temperature Issue,Cleaned filters,CONTR_004,True
WO_0134,ASSET_009,2023-08-01,2023-08-30,Structural Concern,Cleaned filters,CONTR_005,False
WO_0135,ASSET_022,2024-12-03,2024-12-08,Strange Noise,Tightened connections,CONTR_004,True
WO_0136,ASSET_008,2024-03-27,2024-04-12,Out of Service,Full system recalibration,CONTR_005,False
WO_0137,ASSET_013,2024-10-07,2024-10-28,Strange Noise,Temporary patch applied,CONTR_005,True
WO_0138,ASSET_049,2023-08-01,2023-08-08,Out of Service,Replaced compressor,CONTR_003,True
WO_0139,ASSET_043,2022-06-22,2022-06-26,Leak,Tightened connections,CONTR_005,False
WO_0140,ASSET_023,2023-03-03,2023-03-22,Vibration,Full pipe segment replaced,CONTR_002,False
WO_0141,ASSET_043,2025-01-15,2025-01-26,Pressure Problem,Full system recalibration,CONTR_004,False
WO_0142,ASSET_040,2023-12-17,2024-01-11,Water Quality,Complete system overhaul,CONTR_005,False
WO_0143,ASSET_022,2023-06-09,2023-06-28,No Heat,Tightened connections,CONTR_003,True
WO_0144,ASSET_046,2024-02-13,2024-03-06,Leak,Full pipe segment replaced,CONTR_005,True
WO_0145,ASSET_008,2025-03-02,2025-03-12,No Heat,Structural reinforcement applied,,False
WO_0146,ASSET_020,2022-09-16,2022-10-13,Out of Service,Cleared blockage,CONTR_003,False
WO_0147,ASSET_005,2024-01-11,2024-01-21,Air Quality,Full system recalibration,CONTR_004,False
WO_0148,ASSET_020,2025-04-18,2025-04-20,Temperature Issue,Replaced compressor,CONTR_002,False
WO_0149,ASSET_034,2024-12-25,2025-01-17,Structural Concern,Complete system overhaul,CONTR_005,False
WO_0150,ASSET_040,2022-07-14,2022-07-28,Out of Service,Complete system overhaul,CONTR_003,False
WO_0151,ASSET_039,2024-12-20,2024-12-23,Temperature Issue,Replaced compressor,,False
WO_0152,ASSET_040,2024-12-15,2025-01-02,Air Quality,Replaced compressor,,False
WO_0153,ASSET_044,2023-09-13,2023-09-27,Temperature Issue,Cleaned filters,,False
WO_0154,ASSET_020,2023-09-01,2023-09-19,Temperature Issue,Tightened connections,CONTR_001,False
WO_0155,ASSET_014,2023-09-10,2023-10-02,Out of Service,Cleaned filters,CONTR_003,True
WO_0156,ASSET_039,2023-08-16,2023-09-13,Structural Concern,Major component replacement,CONTR_005,True
WO_0157,ASSET_007,2024-03-01,2024-03-29,Pressure Problem,Structural reinforcement applied,CONTR_001,False
WO_0158,ASSET_010,2025-02-25,2025-03-24,Temperature Issue,Full system recalibration,CONTR_003,False
WO_0159,ASSET_022,2024-09-08,2024-09-20,Strange Noise,Full pipe segment replaced,CONTR_003,True
WO_0160,ASSET_002,2025-05-22,2025-06-02,Strange Noise,Cleared blockage,CONTR_002,True
WO_0161,ASSET_015,2024-12-12,2024-12-21,Pressure Problem,Major component replacement,CONTR_001,False
WO_0162,ASSET_050,2023-11-02,2023-11-16,Structural Concern,Tightened connections,CONTR_002,False
WO_0163,ASSET_033,2023-04-23,2023-05-01,Temperature Issue,Reset unit,CONTR_002,True
WO_0164,ASSET_018,2023-02-08,2023-02-18,Strange Noise,Structural reinforcement applied,CONTR_001,False
WO_0165,ASSET_004,2024-08-05,2024-08-12,Strange Noise,Structural reinforcement applied,CONTR_001,False
WO_0166,ASSET_010,2025-02-20,2025-03-22,No Heat,Cleared blockage,CONTR_002,True
WO_0167,ASSET_025,2022-11-18,2022-12-08,Vibration,Cleaned filters,CONTR_004,False
WO_0168,ASSET_030,2022-07-17,2022-07-18,Vibration,Complete system overhaul,CONTR_001,False
WO_0169,ASSET_042,2022-09-15,2022-10-05,Out of Service,Complete system overhaul,CONTR_005,False
WO_0170,ASSET_034,2024-02-10,2024-02-11,Temperature Issue,Tightened connections,CONTR_003,True
WO_0171,ASSET_037,2022-08-25,2022-09-24,Vibration,Tightened connections,CONTR_004,True
WO_0172,ASSET_038,2023-06-07,2023-06-09,Air Quality,Cleared blockage,CONTR_005,True
WO_0173,ASSET_014,2023-11-02,2023-11-08,Out of Service,Major component replacement,CONTR_001,False
WO_0174,ASSET_019,2022-11-07,2022-11-28,Structural Concern,Tightened connections,CONTR_004,True
WO_0175,ASSET_018,2023-11-17,2023-11-21,Pressure Problem,Tightened connections,CONTR_001,False
WO_0176,ASSET_036,2023-12-28,2024-01-10,No Heat,Full system recalibration,CONTR_003,False
WO_0177,ASSET_034,2024-12-30,2025-01-02,Out of Service,Structural reinforcement applied,CONTR_001,True
WO_0178,ASSET_033,2023-11-01,2023-11-30,Water Quality,Replaced compressor,CONTR_004,True
WO_0179,ASSET_048,2025-03-19,2025-03-29,Structural Concern,Temporary patch applied,,True
WO_0180,ASSET_048,2025-04-10,2025-04-28,Out of Service,Tightened connections,CONTR_003,False
WO_0181,ASSET_042,2025-01-16,2025-02-14,Leak,Reset unit,CONTR_004,False
WO_0182,ASSET_015,2023-07-09,2023-07-21,No Heat,Complete system overhaul,CONTR_002,False
WO_0183,ASSET_045,2023-12-26,2024-01-24,No Heat,Full system recalibration,,False
WO_0184,ASSET_005,2022-09-17,2022-09-20,Strange Noise,Replaced compressor,CONTR_004,False
WO_0185,ASSET_006,2022-06-23,2022-07-21,Pressure Problem,Cleaned filters,CONTR_003,True
WO_0186,ASSET_012,2024-04-13,2024-05-06,Strange Noise,Temporary patch applied,CONTR_002,False
WO_0187,ASSET_010,2023-12-21,2024-01-01,Temperature Issue,Structural reinforcement applied,CONTR_002,False
WO_0188,ASSET_006,2023-04-18,2023-05-12,Leak,Replaced compressor,CONTR_004,False
WO_0189,ASSET_048,2025-03-11,2025-04-05,No Heat,Tightened connections,CONTR_001,True
WO_0190,ASSET_035,2024-08-18,2024-09-11,Water Quality,Full pipe segment replaced,CONTR_005,False
WO_0191,ASSET_050,2022-07-23,2022-08-17,Temperature Issue,Replaced compressor,CONTR_002,False
WO_0192,ASSET_026,2023-03-18,2023-04-16,Water Quality,Replaced compressor,CONTR_004,True
WO_0193,ASSET_009,2022-08-17,2022-09-13,Leak,Tightened connections,,True
WO_0194,ASSET_040,2025-02-01,2025-02-15,Structural Concern,Cleaned filters,,True
WO_0195,ASSET_005,2024-09-06,2024-09-11,Strange Noise,Complete system overhaul,,False
WO_0196,ASSET_010,2025-04-16,2025-04-29,Structural Concern,Tightened connections,CONTR_005,True
WO_0197,ASSET_026,2023-06-16,2023-06-25,Leak,Tightened connections,,True
WO_0198,ASSET_027,2024-10-24,2024-11-08,Water Quality,Complete system overhaul,CONTR_002,False
WO_0199,ASSET_028,2023-12-18,2024-01-06,Out of Service,Full pipe segment replaced,CONTR_005,False
WO_0200,ASSET_011,2024-02-12,2024-03-12,Structural Concern,Tightened connections,,False
WO_0201,ASSET_015,2023-03-10,2023-03-18,Leak,Major component replacement,CONTR_001,False
WO_0202,ASSET_038,2024-09-22,2024-10-15,Water Quality,Major component replacement,CONTR_001,False
WO_0203,ASSET_031,2023-01-02,2023-01-29,Air Quality,Adjusted settings,CONTR_004,True
WO_0204,ASSET_027,2024-06-18,2024-06-27,Structural Concern,Major component replacement,,False
WO_0205,ASSET_045,2024-01-21,2024-02-03,Water Quality,Cleaned filters,CONTR_004,True
WO_0206,ASSET_021,2022-09-23,2022-10-06,Air Quality,Major component replacement,CONTR_003,False
WO_0207,ASSET_017,2024-09-23,2024-10-08,Leak,Major component replacement,CONTR_005,False
WO_0208,ASSET_042,2023-10-11,2023-10-12,Out of Service,Full pipe segment replaced,CONTR_002,True
WO_0209,ASSET_043,2023-06-26,2023-06-30,Leak,Major component replacement,,False
WO_0210,ASSET_047,2023-09-25,2023-09-29,Vibration,Full system recalibration,,False
WO_0211,ASSET_011,2024-05-30,2024-06-11,No Heat,Structural reinforcement applied,CONTR_001,False
WO_0212,ASSET_049,2023-01-02,2023-01-10,Out of Service,Complete system overhaul,CONTR_001,False
WO_0213,ASSET_002,2023-10-02,2023-10-09,Water Quality,Cleared blockage,,False
WO_0214,ASSET_035,2024-06-07,2024-07-05,Leak,Structural reinforcement applied,CONTR_005,False
WO_0215,ASSET_024,2024-04-30,2024-05-01,Leak,Tightened connections,CONTR_003,True
WO_0216,ASSET_044,2023-12-20,2023-12-28,Water Quality,Structural reinforcement applied,CONTR_002,False
WO_0217,ASSET_048,2024-07-03,2024-07-07,Air Quality,Complete system overhaul,CONTR_005,False
WO_0218,ASSET_037,2024-11-16,2024-11-24,No Heat,Structural reinforcement applied,CONTR_002,True
WO_0219,ASSET_045,2025-03-03,2025-04-01,Leak,Major component replacement,,False
WO_0220,ASSET_016,2024-04-06,2024-05-05,Air Quality,Cleaned filters,CONTR_005,True
WO_0221,ASSET_041,2024-12-09,2024-12-22,Air Quality,Major component replacement,CONTR_001,False
WO_0222,ASSET_030,2024-05-21,2024-06-01,Vibration,Reset unit,CONTR_001,False
WO_0223,ASSET_007,2024-03-15,2024-03-31,Leak,Reset unit,CONTR_001,True
WO_0224,ASSET_021,2023-07-08,2023-07-20,Strange Noise,Replaced compressor,,False
WO_0225,ASSET_024,2022-07-16,2022-07-17,Strange Noise,Major component replacement,CONTR_005,True
WO_0226,ASSET_018,2022-06-11,2022-06-26,Out of Service,Cleared blockage,CONTR_003,True
WO_0227,ASSET_039,2024-07-28,2024-08-09,Air Quality,Reset unit,CONTR_002,False
WO_0228,ASSET_005,2024-07-30,2024-08-01,Out of Service,Full system recalibration,CONTR_002,False
WO_0229,ASSET_044,2023-01-26,2023-02-23,No Heat,Full pipe segment replaced,CONTR_004,True
WO_0230,ASSET_033,2023-07-11,2023-07-31,Out of Service,Temporary patch applied,CONTR_004,True
WO_0231,ASSET_017,2024-04-10,2024-05-08,Water Quality,Structural reinforcement applied,,False
WO_0232,ASSET_003,2024-05-09,2024-06-02,No Heat,Reset unit,CONTR_001,False
WO_0233,ASSET_043,2024-04-10,2024-05-07,No Heat,Reset unit,CONTR_005,True
WO_0234,ASSET_012,2024-04-27,2024-05-12,Strange Noise,Reset unit,,True
WO_0235,ASSET_032,2024-03-09,2024-03-21,Out of Service,Major component replacement,CONTR_005,False
WO_0236,ASSET_004,2023-12-25,2024-01-08,Structural Concern,Full system recalibration,,False
WO_0237,ASSET_032,2024-11-11,2024-12-06,Strange Noise,Full pipe segment replaced,CONTR_002,False
WO_0238,ASSET_044,2023-03-26,2023-04-25,Structural Concern,Major component replacement,,False
WO_0239,ASSET_012,2024-02-06,2024-02-16,Water Quality,Temporary patch applied,CONTR_003,True
WO_0240,ASSET_027,2022-07-10,2022-07-25,Water Quality,Complete system overhaul,CONTR_003,False
WO_0241,ASSET_016,2024-10-27,2024-11-12,Temperature Issue,Cleaned filters,CONTR_005,True
WO_0242,ASSET_042,2022-12-25,2023-01-02,Air Quality,Major component replacement,,False
WO_0243,ASSET_048,2024-07-06,2024-07-11,Strange Noise,Temporary patch applied,CONTR_003,True
WO_0244,ASSET_029,2023-07-16,2023-07-27,Out of Service,Temporary patch applied,,True
WO_0245,ASSET_041,2024-12-23,2024-12-29,Pressure Problem,Cleared blockage,CONTR_002,False
WO_0246,ASSET_013,2023-09-24,2023-10-01,Pressure Problem,Reset unit,,False
WO_0247,ASSET_010,2024-09-05,2024-09-10,Structural Concern,Temporary patch applied,CONTR_005,True
WO_0248,ASSET_006,2024-11-12,2024-12-09,No Heat,Structural reinforcement applied,CONTR_003,False
WO_0249,ASSET_003,2024-03-20,2024-04-01,Temperature Issue,Cleaned filters,CONTR_001,True
WO_0250,ASSET_015,2025-05-14,2025-06-09,No Heat,Major component replacement,CONTR_003,False
WO_0251,ASSET_020,2023-02-27,2023-03-10,No Heat,Complete system overhaul,CONTR_001,False
WO_0252,ASSET_010,2023-07-08,2023-07-17,Air Quality,Reset unit,CONTR_001,True
WO_0253,ASSET_009,2024-09-08,2024-09-27,Out of Service,Adjusted settings,,True
WO_0254,ASSET_016,2024-04-19,2024-05-03,Air Quality,Major component replacement,CONTR_002,False
WO_0255,ASSET_024,2022-12-16,2023-01-15,Pressure Problem,Full system recalibration,CONTR_005,True
WO_0256,ASSET_020,2024-03-08,2024-03-24,Structural Concern,Cleared blockage,CONTR_002,True
WO_0257,ASSET_034,2025-03-20,2025-04-01,Structural Concern,Replaced compressor,CONTR_005,False
WO_0258,ASSET_005,2023-08-31,2023-09-24,Temperature Issue,Full pipe segment replaced,CONTR_004,True
WO_0259,ASSET_042,2024-06-26,2024-07-06,Water Quality,Major component replacement,CONTR_002,True
WO_0260,ASSET_020,2024-01-09,2024-02-01,Strange Noise,Adjusted settings,CONTR_001,True
WO_0261,ASSET_044,2024-07-31,2024-08-07,No Heat,Complete system overhaul,,False
WO_0262,ASSET_050,2023-01-30,2023-02-13,Strange Noise,Replaced compressor,CONTR_004,False
WO_0263,ASSET_005,2024-01-29,2024-02-23,Strange Noise,Major component replacement,CONTR_002,False
WO_0264,ASSET_001,2025-03-30,2025-04-08,Leak,Tightened connections,CONTR_002,True
WO_0265,ASSET_008,2025-03-23,2025-04-20,Strange Noise,Major component replacement,,False
WO_0266,ASSET_027,2023-04-02,2023-04-04,Leak,Reset unit,CONTR_001,True
WO_0267,ASSET_006,2022-08-31,2022-09-16,Water Quality,Replaced compressor,CONTR_005,False
WO_0268,ASSET_027,2023-09-07,2023-09-16,Leak,Adjusted settings,CONTR_002,True
WO_0269,ASSET_024,2022-09-29,2022-10-01,Out of Service,Cleaned filters,CONTR_005,True
WO_0270,ASSET_004,2023-04-03,2023-04-28,Leak,Replaced compressor,,False
WO_0271,ASSET_010,2023-04-29,2023-05-23,Out of Service,Cleaned filters,,False
WO_0272,ASSET_010,2024-09-16,2024-10-09,Vibration,Replaced compressor,CONTR_003,True
WO_0273,ASSET_027,2022-12-06,2022-12-24,Vibration,Replaced compressor,CONTR_004,True
WO_0274,ASSET_049,2023-02-16,2023-03-15,Air Quality,Reset unit,,True
WO_0275,ASSET_031,2024-01-22,2024-01-24,Out of Service,Adjusted settings,CONTR_003,True
WO_0276,ASSET_004,2025-02-11,2025-02-12,Out of Service,Tightened connections,CONTR_001,False
WO_0277,ASSET_040,2024-03-26,2024-04-02,Structural Concern,Full pipe segment replaced,CONTR_005,False
WO_0278,ASSET_032,2024-01-07,2024-01-11,Out of Service,Adjusted settings,CONTR_005,False
WO_0279,ASSET_002,2023-02-28,2023-03-09,Water Quality,Major component replacement,,False
WO_0280,ASSET_031,2023-12-15,2023-12-18,Air Quality,Reset unit,CONTR_002,True
WO_0281,ASSET_021,2024-01-25,2024-01-29,No Heat,Cleared blockage,,True
WO_0282,ASSET_019,2023-11-18,2023-12-18,Leak,Reset unit,CONTR_004,False
